Variedad,Proveedor,Tipo,Region,Rendimiento,Volumen bruto,Descuento,Volumen Neto,Verde,Amarillo,Rojo,Solidos,DT,D_seco,Varianza,Rechazo
BETA-9,GreenField,Tipo-A,Centro,NaN,NaN,0,NaN,54.8297089808606,21.6523988300607,23.5178921890787,NaN,0,0,0,0
VX-101,BioCrop,Tipo-B,Centro,35.7142280423188,492760,3.57372066874997,476055.44,34.3604074763457,63.0053600989085,2.63423242474575,18.6031960256222,1.86377646392961,0.369255422771598,0,0
OMEGA-3,TerraPlus,Tipo-C,Norte,41.2743099189158,177655,6.17006265525325,166569.33,6.87159297714435,49.2332396600739,43.8951673627817,17.0599647831329,15.9013591062734,7.70953402771854,0,0
TRX-202,BioCrop,Tipo-C,Norte,42.4813792575213,98735,8.20106939526259,90115.43,17.8622069823503,39.1290406528244,43.0087523648253,17.3636275418621,17.911443838692,10.9979211220578,12.3715269238978,16.2728664464745
BETA-9,TerraPlus,Tipo-B,Sur,36.0205487982668,12785042,3.62672201817241,12351629.08,54.504448646488,11.0922772586279,34.4032740948841,18.2962794971623,8.81026570439624,2.67974259389122,0.71311609546136,9.08025608286206
BETA-9,GreenField,Tipo-C,Centro,34.46794663343,3873070,7.94057474704581,3610863.16,17.6252025187201,43.8855047127281,38.4892927685518,18.2629956328598,8.99360376208549,3.46714783802692,0.505262545757019,5.91323467415487
BETA-9,BioCrop,Tipo-B,Occidente,37.2393491921418,227400,8.32134378633085,207411.54,63.778728091878,21.6523254756916,14.5689464324304,18.0565110014823,13.231327715119,5.58020250865441,0,0
VX-101,AgroMax,Tipo-C,Centro,36.7743802313439,2383770,6.97715692164958,2235022.75,72.8849815713566,17.0268964539751,10.0881219746682,18.1070085804786,10.7469444353296,3.04233294648789,2.22870654181034,9.63897039722523
TRX-202,BioCrop,Tipo-A,Occidente,43.1429160710383,339689,9.46392010131331,309830.34,66.4020285860335,22.0431175179561,11.5548538960104,17.4827662990894,12.6118024256481,7.49739087005309,0,7.62497027149263
BETA-9,BioCrop,Tipo-A,Occidente,39.8242786830332,2404476,8.2144200921633,2191679.87,38.9551458101407,40.6012007931533,20.443653396706,17.346597954485,15.2867793189042,6.11118311128711,1.73748867078647,22.2497785520544
VX-101,TerraPlus,Tipo-C,Occidente,43.8996689827357,19854874,4.73131981414666,18981855.19,36.0358672747316,30.9427483862199,33.0213843390485,18.267051042028,9.65991022892796,2.07425445476026,1.3271812046372,4.64442389637929
VX-101,TerraPlus,Tipo-A,Occidente,41.6075949498897,4822080,6.22466448725982,4517324.54,9.29060069510745,1.90180352340527,88.8075957814873,17.6337738139251,9.56990530438698,2.45207170616712,0.645007631969864,3.85581547347775
TRX-202,AgroMax,Tipo-B,Norte,40.0555866396542,167980,7.89008763618147,153231.36,50.059846217124,19.5933588115077,30.3467949713683,17.7445806417064,18.9587994711433,10.9374127974443,14.2399029530291,19.0091331555871
ALFA-7,AgroMax,Tipo-A,Sur,38.1359205119235,1828899,7.58319256130039,1691548.69,22.5186011362339,37.0897605769151,40.3916382868509,17.8181235816164,14.0397957911077,3.84279680168004,1.19526681918136,8.38365626671974
VX-101,BioCrop,Tipo-A,Norte,40.4507220154549,51620,6.26540512979695,48099.52,38.5040373000957,37.2587866778744,24.2371760220299,17.9573292934272,12.9398230196459,8.36625879635373,0,0
VX-101,TerraPlus,Tipo-B,Occidente,39.6767114879624,2974270,7.48016280336724,2696175.76,2.49557247382628,58.7086742089946,38.7957533171792,17.431757938711,12.9867672063272,4.49308955176682,1.32049150735112,16.7464475504271
VX-101,GreenField,Tipo-C,Occidente,41.5581816593883,1940416,2.82509008161312,1880069.06,29.9016085923698,58.1285676367127,11.9698237709175,19.0152820262885,7.50604798632206,1.40966851117578,0,0
TRX-202,GreenField,Tipo-B,Sur,39.2084040799671,275930,4.36681401287771,263099.26,29.5026782851309,45.3138087171291,25.18351299774,18.7298854776357,8.35469471069223,1.83096921286439,0,0
BETA-9,TerraPlus,Tipo-C,Centro,38.9050592422102,41740,6.22411300858755,39089.51,39.2098964180211,18.1442346767631,42.6458689052158,18.5898709526484,17.2808068163511,7.64928021952512,0,0
VX-101,GreenField,Tipo-C,Occidente,38.3455113092186,93390,2.27969317565512,91372.78,24.2288935095891,45.6503308892087,30.1207756012023,18.1616776996515,11.4263672062403,3.05467252271568,0,0
